_id,Response Times,YTD,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,,,,,,,,,,,,,,
2,< 1:00,237,10,24,21,27,22,21,26,28,18,19,21,
3,1:00  to  1:59,891,75,91,77,92,79,74,70,91,95,72,75,
4,2:00  to  2:59,1238,118,126,84,125,104,93,94,118,125,140,111,
5,3:00  to  3:59,981,104,96,89,85,76,74,63,102,101,112,79,
6,4:00  to  4:59,585,54,51,35,49,58,56,56,54,58,61,53,
7,5:00  to  5:59,348,41,30,33,25,39,33,28,32,37,30,20,
8,6:00  to  6:59,201,17,16,13,15,20,19,17,18,24,24,18,
9,7:00  to  7:59,113,10,14,12,13,8,11,6,11,8,13,7,
10,8:00  to  8:59,41,2,2,5,2,7,3,3,8,2,2,5,
11,9:00  to  9:59,26,3,2,2,4,2,3,2,1,2,3,2,
12,10:00  to  10:59,13,0,0,1,0,3,2,0,1,2,0,4,
13,11:00  to  11:59,7,0,1,1,1,1,0,0,0,1,1,1,
14,12:00 to 12:59,11,1,0,2,2,1,2,2,0,1,0,0,
15,13:00 to 13:59,9,0,0,3,1,0,2,1,0,2,0,0,
16,14:00 to 14:59,4,0,0,0,2,0,2,0,0,0,0,0,
17,15:00 to 15:59,6,1,0,0,1,1,1,1,0,0,1,0,
18,16:00 to 16:59,3,0,0,0,1,0,0,0,2,0,0,0,
19,17:00 to 17:59,0,0,0,0,0,0,0,0,0,0,0,0,
20,18:00 to 18:59,0,0,0,0,0,0,0,0,0,0,0,0,
21,19:00 to 19:59,1,0,0,0,0,0,0,1,0,0,0,0,
22,20:00 +,17,1,0,3,1,1,1,3,0,2,3,2,
